text,label
अब गूठी मा हस्तक्षेप गरिरहे का छन ।,1
राजा ले तँ यस्तो भस्त्रचार तँ गरेकोे थिएन ।,0
रबि दाजु प्रति सलाम छ ।,0
बिश्वासिलो नेपाल प्रहरी आफ्नै काम ले आफै बदनाम हुदैछ भने नेपाली जनता ले बिश्वास गर्ने ठाउँ छैन !,1
कस्ताे चित्न नबुजेकाे गधा हरूकाे कुरा पत्रकार् ले एस्ताे भन्दापनि लाजपचाएर बाेल्छन थुइक्क गधा हाे ।,1
"यी दुई चोर नेता हरू ले तर्क गरे को होइन , यी भ्रष्ट रुए को हुन , यिनि हरु को एक शब्द सहि बोले को छैन ।",1
के नाचे को हौ तेस्तो बरु फरिया उचालेर देखाइ देउ नेपाली यस्तो हुन्छ भनेर जाठी हो ।,1
फरक बिचार का भएता पनि नेपाली राजनिति का अत्यन्तै श्रद्धावान र एक आदर्श व्यक्तित्व ।,0
मेहर सर मन्त्री होस् भन्न चाहने हरू सबै यता हाजिर हौ ?,0
अबचै नेपाल का प्रधानमंत्री को सातोजानेभो हैं रबी जि र भबिसै मा चै गरेरै देखाउनु परने हुनछ है रबि जि ।,1
नेकपा को मुला को PHD पशुपति मा सेलाउन लगे हुन्छ तेरि मा टोक्ने हरु पढाइ को घमण्ड तर बुद्धि भने चाक मुनि रहेछ मुला को !,1
इतिहास बिरसेर नेताकाे चाकरी मा बाेलने साहि तिमराे अब ५ साल हाे ।,1
बिचरा चीन को राश्ट्रपती नेपाल सबै तिर यतिकओ राम्रो रहेछ भनेर भ्रम मा पर्यो होला ।,1
अगाडि बडै जानुहोस हाम्रो फुल सपोट छ र भस्टचारि लाई दायरा मा ल्याउनु पर्यो ।,1
यस्तो राम्रो सोच सबै को भए आज देश निक्कै माथी हुन्थ्यो ( किसान को छोरा कोदालो खनेर खान्छु ) सोच ।,0
सलाम छ द्वारिकालाल चौधरी मेयर ज्यु हजुर जस्तो सबै ठाउ मा मेयर को खाचो छ शतप्रतिशत सहि हुनु हुन्छ मेयर ज्यु ।,0
डिस लाइक गर्ने १०३ जना दलाल भ्रष्टाचारि घुस्याहा हरु ।,1
हजुर हरु सबै प्रती हार्दिक नमन अनि दिपक दाइ को मुस्कान कति राम्रो हौ ।,0
यो लालिगुरास सस्था सुरेन्द्र केही पनि श्याम प्रदेशी जस्तै चोर डाका रछ साले यस लाई छोडनु हुन्न दलाल चोर लाई ।,0
I am with chaudhari✊✊✊ ।,0
यो केशब बडालभन्ने जन्तु लाई कुनै पनि tv च्यानल ले कहिल्यै नबोलाउनुहोस यो कहिल्यै साचो बोल्दैन र मन्त्री अर्याल पनि भु माफिया कै पक्ष मा छिन यस्ता पनि मन्त्री !,1
अहिले का सताधारी हरु जति सबैलाइ पद्च्युत नगरी यो देश बाट भ्रष्टाचार कहिले पनि उन्मुलन हुन्न ।,1
Dij को झुट कुरा स्थानीय को अनुसार जानी बुझी मारे को हो भन्ने स्थानीय हरु को भनाई छ ।,1
हुनत हामि लाई हजुर लाई राष्ट्रपती भन्न पनि घिन लाग्नथाल्यो हजुर लाई देखेर होइन हजुर को बानी व्यवहार देखेर बोल्ने शैली देखेर हजुर ले गरे को सम्पुर्ण काम् देखेर धिक्कार लागेर आउच ।,1
ज्योति वानियाँ र कुलमन लाई हेर अनि ती 2 तालु लाई हेर अनि तिनि हरु का कुरा सुनेर रगत उम्लन्छ यार तिर्दैनै रे सर्ब साधारन जनता को लाइन काटेर मज्जा ले ऊध्योग सन्चालन गरेर नाफा लिन आज आएर तिर्दैनै भन्ने खाए पछि फाल्न नजान्ने मुला लाई के भन्ने चोर दलाल ठग ।,1
मृतात् मा लाई हार्दिक श्रद्धासुमन र सम्पूर्ण का परिवारजन प्रति हार्दिक समवेदना प्रकट गर्दछु साथै परिवारजन मा धैर्यधारण गर्ने शक्ति मिलोस् ।,0
"याे जालि हरु , फटाहाहरुकाे कुरा यस्तै हाे !",1
हौ यो आईमाई लाई कस् ले कति पैसा दिए छ र आफ्नो इज्जत को लिलामी गर्दैछ ?,1
पत्रकार को म लाई प्रस्न सोद्ने शैली सारै मन पर्यो एकदम ठिक छ.. .,0
पठक ले भटेर आ को जनता सबै नेता का झन्डे र झोले हो ।,1
आखा को अगाडि झुट न बोल क्या पुलिस तिमी हरू लाई किन भाला किन जलाउँछन् भन्ने त बल्ल बुजिन्दै छ ।,1
२ जान साही लगियो २ जान चै चोर हो ।,0
पेल्छ केटो ले मज्जा लाग्छ !,0
रत्नपार्क मा ब्यपार गर्ने हैसियत छैन भनेर अाफ्नाे पदकाे मर्यादा नै थाहा छैन तलाइ बाधेर घासहाल्नु पर्ने ।,1
सलाम कुल्मान सर हजुर् को पछी २ करोड ९० लाख जनता छ ईनी हरु को असुल गर्नुपर्छ ।,0
जति फतफताय पनि केही हुन्या वाला छैन ।,1
कस्तो कुरा गर्छौ पत्रकार !,1
राजा अाउ देस बचाउ ।,0
यो पार्टी को झोले पत्रकार हो यसलाइ स्पष्टीकरण दिई रहन आवश्यक छैन द्वारिका जि ।,1
मगन्ते हरू को नक्कली स्वागत ।,1
सबै साला चोर हरु हुन गधा हरु नालायक हरु सबै लाई खोर मा जाग्नु पर्छ गरिब जनता को कर तिरे को पैसा ले यस्तो गर्ने लाई ।,1
रबि सर हजुर लाई सधै भरि श्रिपशुपति नाथ ले रक्षा गरून् ।,0
"जीव राम जी , एस्तो गम्बिर समस्या मा गम्भीर छलफल हुदा तपाई किन हासेर प्रस्तुत भए को ?",1
मन्त्री भन्दा नि ठुलाे नेता बिस्नु पौडेल भुमाफिया को दलाल भए पछि बिचरा मन्त्री को पद मात्र होईन राजनीतिक जिवन नै समाप्त हुने होला अनि के को कार्वाहि ।,1
गगन थापा यो देश र जनता ले आशा गरे का प्रतिभावान नेता हुन यीन ले सही बोले ।,0
दशैँ तिहार को आस पास मा सि मा मा पुलिस को नियत छर्लङ हून्छ ।,1
sojha नेपाली हरू लाई आत्याचार गर्ने तिमी हरू को kulat ।,1
निखिल नेपाली नः 1 दिराे साथै बिचार पनि माहान छ ।,0
यो सरकार ले गल्ती सुधार गर्ने र गल्ती गरे को छु भन्ने बोधनै गर्दैन अनि कसरि जनचाहना को कुरा गर्नु ।,1
जे गर्नु भो मेयर साहव ले एकदम ठिक गर्नु भो ।,0
राजतन्त्र आज को आवश्यकता जय नेपाल I हाम्रो राज हाम्रो देस प्राण भन्दा प्यारो छ I ।,0
"निकै राम्रो काम गर्नु भयो रबि सर , हजुर त देश को भगवान हो l ।",0
सबै भातामारा दाका हरु हुन कुलमान सर मात्रै हुन असल इमानदार ब्यक्ति हुनुहुन्छ उहाँ ।,0
यो कार्यक्रम आए पछी दासै आ को जस्तो लाग्छ म लाई नि ।,0
मुन को बिर्यपान गरेर धर्म बेचे अब गुठि बिधेक ल्याएर भ का मठ मन्दिर अनि देशै बेचेर खान्छन् यी मुन का सन्तान हरु ले ।,1
❣️ I ' m always with you rabi dai ।,0
Question कहाँ बाट काह हो के यो ?,1
हैन यो ईन्टर्भिउ लिने मान्छे त मोदि को जुवाई खलक होकि के हो प्रस्न सोधाई नै स्पस्टिकरण छैन त हो हैट ।,1
यी लुट्न लाइसन्स पाए का नेता ले लाखाै लाख जनता मारेर कमाए का धनी भएर के गर्नु त्यहि धन रुवाइँ नै रहेछ ।,1
प्रबक्ता एकदम हल्का र गलत तरिका ले आफ्नो भनाई राख्दैछ ।,1
गगन थापा सबै भन्दा पहिला मेरो जय नेपाल तपाईं एउ टा भर पर्दाे र युवा नेता हाे अाशा काे दियाे हाे त्यसैले मेराे शुजाभ तपाई लाई भ्रष्टाचार र बेथिति बारे मा खुलेर बाेल्नुस जाे सुकै हाेस त्यस मा शेरे भएनि कारबाइकाे माग गर्नुस तब अाउने छ पहिलाे पाटि काग्रेश ।,0
रबि दाइ लाइ देखदा गर्व ले छाती फुल्छ ।,0
यो बिस्नु पौडेल को हनुमान हो ।,1
"यो Dij ले जहि ले झुट बोल्छ , ज्ञानेन्द्र साही लाई हिरासत मा कुटपिट यत्ना दियो , अझै दिए को छैन भन्ने झोले होलि वाइन ।",1
Yo नेकपा को नेता को कुरा सुन्दा ओलि को भतुवा झोले रहेछ ।,1
प्रचण्ड भ्रष्टाचार हो दिन हरु नजिक आउदै छ गान्दै बस हामी छिटै तेरो घर मा आएर मर्दिने छु जनता को देश हो जनता को ताकत हेर्दै जानु हामी प्रचण्ड लाई यदि सजिलो गरि मर्ने छैन 17हजर मान्छे मरे को छु हामी अन्तर्राष्ट्रिय अदालत म मुद्दा हल्ने छु ।,1
लास्ट मा यो सोम पान्डे गधा बोले को सुन्नैमन थीयन झन तेही खाते बोल्यो ।,1
प्रस्न सोद्ने को गोरु हो ।,1
फिङ्गर पिङ् गर्ने सिस्टम नै छैन हाम्रो देश नेपाल मा यदि फिङ्गर पिङ् सिस्टम हुन्थ्यो भने ति नाथे हरू अहिले नै जेल् मा सदिनेथिय ।,1
प्रवक्ता को बोलि मा 1% पनि सहि छैन र बोलि मा कुनै तुक छैन ।,1
"डिस लाइक हान्ने हरु माफीया , दलाल , भ्रस्टाचारी , लुटेरा हरु हुन ।",1
नेपाल मा सहकारी को नाम मा बैकँक को नाम मा खाली गरीव दुखी जन्ता लुटने काम मात्र छ कहिले सम्म होला यस्तो नेपाल मा ।,1
जन्ता को लगि राम्रो गर्नु भय को छ कुल्मान घिसिङ सर जय होस तपाईं को ।,0
याे सावित्री काे अनुहार त भुत जस्तैः छ ।,1
यो खाते साला phd हु भन्छ साला खाते साले के को phd हो तेरो चुतिया साला झोले कृस्रन को पैसा खायर पढे को होलास कुकुर ।,1
"चोर हरु गल्ती स्विकार्नु त कहाँ हो कहाँ एक ले पहिले का लाई दोस लगाउदै जाने , स्साला भ्रष्ट हरुलाइ लाजै छैन ।",1
यो पुणय महा झोले र भिजिलान्ते हो हरामी ।,1
कुरो त सहि गरो है suddo ले ।,0
news24 राम्रो काम जारी राख्नुहोस् ।,0
गल्ती धाकछोप गर्न खोजी राखे को छ ।,1
यस्ता पत्रकार लाई हटाउनु पर्छ यो के सि पनि गफडि मात्र हो तर यो पत्रकार भारत को पुच्छर हो घुसघुसे हो यो ऋषि ।,1
साला दिलनिसानी मगर त चुपलाग साला खाते यो सब त जस्तो भस्ट्चार र घुस खोर र दालाल हरु को काम हो रबि सर लाई फसाउन लाई ।,1
